date_time,temp,humid,wind_speed
2024-09-30T07:00,25.5,47,7.1
2024-09-30T08:00,25.0,51,4.7
2024-09-30T09:00,24.6,54,3.8
2024-09-30T10:00,24.1,56,3.8
2024-09-30T11:00,23.7,58,4.4
2024-09-30T12:00,23.7,58,4.7
2024-09-30T13:00,24.4,56,4.7
2024-09-30T14:00,25.5,53,5.2
2024-09-30T15:00,26.9,49,5.2
2024-09-30T16:00,28.5,43,5.4
2024-09-30T17:00,30.4,36,5.8
2024-09-30T18:00,32.0,30,5.8
2024-09-30T19:00,33.1,26,5.4
2024-09-30T20:00,33.9,23,5.4
2024-09-30T21:00,34.2,21,4.9
2024-09-30T22:00,33.8,21,3.2
2024-09-30T23:00,33.0,23,2.9
